id,text,label,permalink
48616398,OpenMontage: Turn your AI coding assistant into a full video production studio,story,https://news.ycombinator.com/item?id=48616398
48602266,Chrome extension to grey out unwanted videos,show_hn,https://news.ycombinator.com/item?id=48602266
48605650,"Schemic – your database schema, in the Zod API you know I want you to give a look to a tool I have been working on for a while, Schemic. It's a tool that lets you author your database schema in Typescript, you forget about the DDL and just think on your database's native lingo. I'd say the strongest points of the project is that it's a SUPERSET of the popular validation library Zod ( https://zod.dev ), which I'd say shines in representing typescript's type system in code. Schemic wraps it with database-specific flavour (opt-in, for precision) so you can do `s.string()` (zod drop-in, will work",show_hn,https://news.ycombinator.com/item?id=48605650
48617059,Nothing's co-founder says CMF can't build a phone 'at a price that makes sense',story,https://news.ycombinator.com/item?id=48617059
48591453,"Veneerly – See your own face with veneers before you commit I've had more than six consultations with top veneer dentists in NYC, Turkey, and Mexico. All six gave me a different recommendation. Not one of them offered to show me what I'd actually look like with veneers. So I tried ChatGPT, Gemini, and Grok. They all changed my face, and none of them let me compare options to figure out which smile I'd actually want. So I built it myself. Submit a photo and get back ten veneer options in under 60 seconds. Upload as many photos as you want and see how you'd look across different settings, outfit",show_hn,https://news.ycombinator.com/item?id=48591453
48615996,Systemd v261 Released,story,https://news.ycombinator.com/item?id=48615996
48618235,He tried to make RAM Man a new currency in 2011 – how did it go?,story,https://news.ycombinator.com/item?id=48618235
48569970,What is your worst lesson learned from using AI?,ask_hn,https://news.ycombinator.com/item?id=48569970
48610422,Mitos – N-way live copy-on-write fork of running Firecracker microVMs,show_hn,https://news.ycombinator.com/item?id=48610422
48552010,Best Hetzner Alternatives?,ask_hn,https://news.ycombinator.com/item?id=48552010
48617038,"Horcrux – Distributed, Zero-Trust Secret Manager",story,https://news.ycombinator.com/item?id=48617038
48607272,"PHWalls – High-res stock wallpapers from Android and global phone brand A gallery of official system wallpapers from various mobile brands including Samsung, Pixel, Xiaomi, and more. All in 4K resolution.",show_hn,https://news.ycombinator.com/item?id=48607272
48611988,Are people optimistic about the future? Do you think humans in the future in general will be more or less happy than they are now?,ask_hn,https://news.ycombinator.com/item?id=48611988
48548167,"How much better has Fable been at design, really? Hi Hacker News. We all know about the coming and going of Claude Fable. On X/Twitter, I have been seeing a lot of discourse about the great new capabilities it has, specifically for UI and design and game development. However, I suspect a lot of this is really just because we have never tried to attempt this with Claude Opus 4.8. For example, the Three.js scenes I keep on seeing: I feel like they could have been attempted with Opus 4.8 with just a bit more effort and prompting? For example, while Fable created the paper airplanes for my landing",ask_hn,https://news.ycombinator.com/item?id=48548167
48612432,"MiniPCs.zip (charting the pareto frontier of MiniPCs) Quick blogpost [here]( https://luke.zip/posts/pareto-pcs/ ) - the overall idea is to chart out the thousands of Mini PCs by benchmark and reveal the Pareto Front so you can get the most Compute per Dollar. Definitely a labor of love as I have a number of Mini PCs for my ""homelab"" (TrueNAS, piHole, Plex, basic stuff). It uses Gemini to extract specs from listings (since they're not often strongly categorized).",show_hn,https://news.ycombinator.com/item?id=48612432
48600224,"Do you think we have got to the top of the rapid AI breakthroughs? 2024-2025, we saw lots of massive releases with tangible quality changes. To me experience, that hockey stick is no longer there for releases since the beginning of this year. Is AI hitting a bottleneck now?",ask_hn,https://news.ycombinator.com/item?id=48600224
48616437,CL-BBS: the schemeBBS-like textboard rewritten in Common Lisp,story,https://news.ycombinator.com/item?id=48616437
48617412,"China unveils a portable anti-drone laser that can down drones from 1,600ft away",story,https://news.ycombinator.com/item?id=48617412
48536482,"Data source used for training Anthropic's Mythos? This question came up from a tangential discussion. Some one was asking suggestions about systems architecture. I suggested them to look into RCA (root cause analysis) for some big scale failures. Hard part is to find this kind of data publicly. This prompted the question about the data source for Mythos/Fable training. The security bugs reports, fixes are somewhat of a sensitive private collections. I did check the documentation from Anthropic on this, it only mentions the usage of publicly accessible data. Any ideas how Anthropic would have g",ask_hn,https://news.ycombinator.com/item?id=48536482
48599359,"SEO Audit and Backlink Monitoring. All-in-One Platform SeLinkPro combines a full-site technical audit (4xx/5xx, broken links, missing tags, indexing blockers) with automated backlink monitoring, bulk indexation checks, and domain metric analysis. One platform. Complete SEO control.",show_hn,https://news.ycombinator.com/item?id=48599359
48596213,"UAVs FYI – Drone database with supply chain data, API and CLI Hi HN community, I want to share my UAV/drone database. I made this because have been tired to be asked about who makes it, where it""s made and who using Ardupilot. How it works: Just browse it. And if you want to put the info into your LLM, use API and CLI feature. Important: All the information is not classfied. It is sourced from public (web-pages, news, reports) and kind contributor from a research company. Kind feedback is very welcome!",show_hn,https://news.ycombinator.com/item?id=48596213
48597707,ThoughtSapien – An AI tutor that teaches through structured lessons,show_hn,https://news.ycombinator.com/item?id=48597707
48603214,What is the cutting edge research in compilers and PLT? Sort of like what Rust was back in 2012.,ask_hn,https://news.ycombinator.com/item?id=48603214
48596140,Avera – a deterministic check that proves no regression was introduced,show_hn,https://news.ycombinator.com/item?id=48596140
48594855,"Meetup.com login appears to be exceeding its reCAPTCHA Enterprise quota I was trying to log into Meetup today and got this on the login form (preventing me from logging in): ""This site is exceeding reCAPTCHA Enterprise free quota."" https://imgur.com/a/nkVUpTi Is this a common failure mode for large sites using reCAPTCHA Enterprise, or does it suggest a billing/configuration issue?",ask_hn,https://news.ycombinator.com/item?id=48594855
48617264,Geo-engineering to protect against solar storms,story,https://news.ycombinator.com/item?id=48617264
48598279,HackerFlow – Hacker News Client for Android Which Looks Like Reddit,show_hn,https://news.ycombinator.com/item?id=48598279
48618332,Local Inference,story,https://news.ycombinator.com/item?id=48618332
48615953,"The videogame market is as big as ever, with PC leading growth [pdf]",story,https://news.ycombinator.com/item?id=48615953
48611857,Tiny – An interpeted dynamic langauge with inline Go native functions,show_hn,https://news.ycombinator.com/item?id=48611857
48615877,"I made an AI video of alexpotato's comment about his stockbroker dad Link to the comment: https://news.ycombinator.com/item?id=48302991 Sorry I made your dad bald... he was bald, right?",show_hn,https://news.ycombinator.com/item?id=48615877
48607670,"F1l0 – Fitness Logger I build this self-hostable, PWA-ready fitness tracking app. This is less about the app itself, there are probably dozens of them out there. This is more about me being fascinated about the idea of ""personal apps"": AI enables us to just build something that perfectly fits our indivual requirements - like a tailor-made suit. None of the apps I know matched my requirements, some of them come with a subscription, some required an account. So I build F1L0. It would even work as a static HTML page with no backend services - like on GH Pages. I just needed a backend to add synch",show_hn,https://news.ycombinator.com/item?id=48607670
48596731,I built a Wu-Tang name generator (wutangname.online),show_hn,https://news.ycombinator.com/item?id=48596731
48619005,AI Under Trump's Control: Can France Still Avoid Digital Dependence?,story,https://news.ycombinator.com/item?id=48619005
48535569,"CoCoMS (Construction Correspondence Management System) I released yesterday version 2 of CoCoMS, a F/OSS licensed (GNU GPL) Laravel PHP document management app. CoCoMS is a modern Laravel 12 application for managing construction project correspondence, documents, and communications. It provides role-based access control, file management, full-text search, and organized tagging of documents. Why CoCoMS came to life? Simply because I wanted to scratch an itch! I wanted to create a simple yet powerful web-based document management system specifically for the management of correspondence generated",ask_hn,https://news.ycombinator.com/item?id=48535569
48574894,"At what point does AI regulation lead to confiscation of compute? With everything going on lately regarding AI policy, and the cat already being out of the bag with AI systems that can run on feasibly obtainable personal compute, at what point do things tip over governments confiscating said compute in order to enforce a certain regulatory goal? Today's regulation is mostly targeted at frontier labs, hyperscalers, chip makers, etc. But if compute is the choke point, and things are getting more efficient, where is the limiting principle ""on the way down""? At what point do registration, licensng",ask_hn,https://news.ycombinator.com/item?id=48574894
