id,text,label,permalink,label_id
48606908,"Passport Stamp Archive, browse real border stamps from around the world",show_hn,https://news.ycombinator.com/item?id=48606908,1
48550002,"Safety Ideas, and a Testable Path Hello. You don't know me. I know of some of your stories from across the varied aspects of technology, and have followed or many years. I am not a developer. I am not from a computer science background. And I'm not from Silicon Valley. I used to respect Silicon Valley quite a bit. And I've proved about the technology our world is currently suffering at the hands of. Since before, most of the people that had a hand in building it were even alive. Like... Come from a very different background from all of you. I worked in emergency medicine for 17 years of my lif",ask_hn,https://news.ycombinator.com/item?id=48550002,0
48617323,CTOs Agree: Cognitive Debt Is the New Technical Debt,story,https://news.ycombinator.com/item?id=48617323,2
48600144,"Gora – simple search across all your local coding agents Hey HN - Gora is a local cli app that indexes your chat threads across Codex, Claude Code and Pi automatically and lets you simply search across them all at once The problem I wanted to fix here for myself was that each time I directed the agent to read previous chats, it had to rediscover the folder structure and the threads stored for each coding agent. Moreover Codex and Claude Code chats disappear after a certain number of chats created locally. Many harnesses are still missing such as opencode, Amp and Gemini CLI as I rarely use the",show_hn,https://news.ycombinator.com/item?id=48600144,1
48619398,Remote Exec Server using only Python stdlib,show_hn,https://news.ycombinator.com/item?id=48619398,1
48596731,I built a Wu-Tang name generator (wutangname.online),show_hn,https://news.ycombinator.com/item?id=48596731,1
48600733,"Ways Of Working (WOW) - seeking tips for teamwork https://github.com/ways-of-working/ways-of-working I'm seeking your help please for suggesting ideas, articles, tactics, and the like for improving ways of working - especially if you have experience and opinions.",show_hn,https://news.ycombinator.com/item?id=48600733,1
48617983,Shall We? – A pre-engineering sanity check for AI-era feature bloat,story,https://news.ycombinator.com/item?id=48617983,2
48618362,Future of Programming? With AI writing most of the code how does the future of programming looks like?,ask_hn,https://news.ycombinator.com/item?id=48618362,0
48543969,"How are you enabling your employees to do AI dev in the cloud? Sure, us engineers can Claude Code up a storm locally on our laptops these days. But now with everyone trying to vibe code everything, there's quite a few people that don't have a ""proper"" local dev environment to do that same kind of development. Let's just take running a test suite. Our devs need a pretty beefy environment to run that. So ideally, these environments are just in the cloud. But Claude Code web, is so ""environment lite"" that it really isn't a substitute. Or are you all having Claude Code web install a bunch of depen",ask_hn,https://news.ycombinator.com/item?id=48543969,0
48548883,"Reviews have become expensive, rewrites have become cheap [link redacted]",ask_hn,https://news.ycombinator.com/item?id=48548883,0
48547749,Why did you open source your project?,ask_hn,https://news.ycombinator.com/item?id=48547749,0
48618275,How do you trick your brain into avoiding impulse purchases?,story,https://news.ycombinator.com/item?id=48618275,2
48590400,Browser calls with live translation in the speaker's cloned voice,show_hn,https://news.ycombinator.com/item?id=48590400,1
48609231,"We post-trained a model that pen tests instead of refusing Anthropic and OpenAI's publicly available models are explicitly guard-railed so that they refuse offensive tasks. And their cyber-focussed models are gated for enterprises. This leaves SMEs and mid market open to major vulnerabilities. AI can be used as both an adversarial and defensive tool in the world of cyber. A worst case outcome is if only the adversaries have access. Meanwhile, most existing AI cyber tools are just wrappers. The problem is that they still have all the guardrails on from the foundation model where they will inher",show_hn,https://news.ycombinator.com/item?id=48609231,1
48609457,"How to become an AI infrastructure engineer? Hi, I currently work on a GenAI platform for one of the largest local industrial companies. My daily work mostly involves building inference infrastructure on top of a 48x H200 GPU, Kubernetes and vLLM. Hence, I'd say it's 80% SRE and 20% software engineering when it comes to building request routing and internal control planes. Although I have a background in backend engineering rather than ML research or low-level GPU programming, I am trying to understand what I need to learn to become a proper SWE, not just someone who knows how to deploy and se",ask_hn,https://news.ycombinator.com/item?id=48609457,0
48574894,"At what point does AI regulation lead to confiscation of compute? With everything going on lately regarding AI policy, and the cat already being out of the bag with AI systems that can run on feasibly obtainable personal compute, at what point do things tip over governments confiscating said compute in order to enforce a certain regulatory goal? Today's regulation is mostly targeted at frontier labs, hyperscalers, chip makers, etc. But if compute is the choke point, and things are getting more efficient, where is the limiting principle ""on the way down""? At what point do registration, licensng",ask_hn,https://news.ycombinator.com/item?id=48574894,0
48589516,Myco Brain – source-traceable memory for AI agents on your own Postgres,show_hn,https://news.ycombinator.com/item?id=48589516,1
48595125,"Foldkit vs. React, the same pixel art editor implemented in both Hi HN, I'm the creator of Foldkit, a TypeScript framework built on Effect and inspired by the Elm Architecture. This page compares the same pixel art editor implemented in React and Foldkit side-by-side. Rather than focusing on benchmarks or isolated examples, I wanted to compare what building and maintaining the same application feels like in each architecture. The comparison includes state management, UI, async operations, side effects, application structure, and testing.",show_hn,https://news.ycombinator.com/item?id=48595125,1
48616437,CL-BBS: the schemeBBS-like textboard rewritten in Common Lisp,story,https://news.ycombinator.com/item?id=48616437,2
48550327,"Is CPU design hitting a (soft) speed limit? I'm not in the hardware industry, and am curious what the future might hold. We've been stuck in the 3-5 Ghz range for a long time. I think we're scaling by adding cache, cores, and specialized instructions. Due to observations like Amdahl's Law, PC hobbyists aren't seeing great returns on new machines. We've had 8+ logical cores for a long time now. The physical size of gates in the CPU is getting very difficult and costly for companies to shrink further. We are approaching a scale where more quantum effects are at play, and there is actually a ""min",ask_hn,https://news.ycombinator.com/item?id=48550327,0
48606540,"Local OCR and Image Analysis for LLMs via Apple Vision (macOS) I kept paying tokens and uploading documents to cloud APIs just to pull text out of screenshots and scanned PDFs, so I wrapped macOS's built-in Vision framework as an MCP server. Any MCP client (Claude Desktop/Code, Cursor) can call it to OCR images and PDFs, read QR/barcodes, detect faces, find document corners, and classify images — entirely on-device. Two things made it worth packaging: nothing leaves the Mac (no API keys, no network calls), and sending extracted text instead of raw page images cut tokens ~97% on the documents I",show_hn,https://news.ycombinator.com/item?id=48606540,1
48618481,Printing Gaussian Splats,story,https://news.ycombinator.com/item?id=48618481,2
48592447,I built a multiplayer dominoes game,show_hn,https://news.ycombinator.com/item?id=48592447,1
48587808,"What tools are you using for AI-assisted code review? My team (around 40 people who write code) is evaluating tools for AI-assisted code review. The market appears to be rife with options, so before starting a series of free trials, I’d like to ask a knowledgeable crowd. What tools or services are you using? Do you use them just for code review, or for other purposes as well, such as incident response or branch management? Why did you choose them, and what do you like or dislike about them?",ask_hn,https://news.ycombinator.com/item?id=48587808,0
48616741,Beast: Inference Economy Inversion in Agentic Coding Systems,story,https://news.ycombinator.com/item?id=48616741,2
48568662,"Need a Co-Founder I need a co-founder, Im making a controversial startup that most probably will boom. I need someone how knows how to code or anyone willing to show support!",ask_hn,https://news.ycombinator.com/item?id=48568662,0
48601472,NanoEuler – GPT-2 scale model in pure C/CUDA from scratch,show_hn,https://news.ycombinator.com/item?id=48601472,1
48614526,"Rocannon – Any Ansible module to MCP Tool, record sessions as playbooks I've been using Ansible for IT automation for a while, and the process of writing imperative playbooks in something that looks closer to English I felt was a good fit to design MCP tooling around. I specifically wanted to have a process of running Ansible modules directly as tools from an LLM and record it so my exploratory sessions can become runnable playbooks. The ansible-doc command already emits the schema for each module, so tool calling is nice and structured, and it feels nice to have this available ad-hoc with all",show_hn,https://news.ycombinator.com/item?id=48614526,1
48619100,"Refloow Photo Studio – A local, offline photo editor with on-device AI",story,https://news.ycombinator.com/item?id=48619100,2
48593356,Drydock – VM Sandboxes for macOS Autonomous Coding Agents,show_hn,https://news.ycombinator.com/item?id=48593356,1
48616807,Selling my multi-tenant dental SaaS codebase (Vue/Node/PostgreSQL),story,https://news.ycombinator.com/item?id=48616807,2
48600500,Find the right stack for your AI use case,show_hn,https://news.ycombinator.com/item?id=48600500,1
48615890,"The Lost Story of Alan Turing's ""Delilah"" Project (2025)",story,https://news.ycombinator.com/item?id=48615890,2
48538711,"Did you try Claude's ""Fable 5"" model before it was pulled? I did. And it got me thinking. For those delivering customer-facing digital products and systems—especially in companies where slow go-to-market speed can have real impact—being able to ship new products, patches, and resolve support issues faster than competitors is a clear advantage. We often hear that time is of the essence. Time to market can be the difference between a customer choosing your digital product over a competitor’s. Here’s a further question: If go-to-market time is reduced, will LLM search prioritise speed when it eva",ask_hn,https://news.ycombinator.com/item?id=48538711,0
48607248,"Chrome Extension – Donor Metrics Checker with Recommendations The extension parses all links on a given webpage or analyzes the current domain to provide an instant breakdown of essential SEO metrics, such as DR, DA, and Majestic. It also gives recommendations on whether it's worth using the donor for link placement.",show_hn,https://news.ycombinator.com/item?id=48607248,1
48568372,"Does your mind drift while waiting for AI prompts to finish? I've been a software engineer for 9 years now, and I noticed a very new weirdness in my workflows. Once I finish the architecture of a project and i have my context engineering prompt ready, I hit SEND, and then is just void lol. I have realized that between that time of waiting till AI is done, my mind drifts, I go use other apps, search random stuff and if AI fucks things up I go back and forth supervising it. I feel like this whole experience has generated some kind of fatigue and comes with a lot of cognitive overload. Do you fol",ask_hn,https://news.ycombinator.com/item?id=48568372,0
48612758,"Do you use Claude Code, Codex, or something else? Do you use Claude Code, Codex, or a different vibe coding/agentic engineering tool for most of your work? Why?",ask_hn,https://news.ycombinator.com/item?id=48612758,0
48618530,Backtest Is Lying to You,story,https://news.ycombinator.com/item?id=48618530,2
48594310,Iamspeed.dev – Fast.com Style but for LLMs,show_hn,https://news.ycombinator.com/item?id=48594310,1
48570641,"Struggling for My Startup Hi, just call me alessandro for now. i never used hacker news. or twitter to write about thing. But im genuinely struggling for my startup. I have many products in line but focused on few. At this point im just self funded and delusional. If i ever to make a new social media then yea i can create a platform in few week with or without ai, everyone can do that. In this pov, if im mark then I need eduardo. or if i were to create something like apple then i can be wozniak then i need steve. Either way, i do need someone whos actually sees what im trying to do, understand",ask_hn,https://news.ycombinator.com/item?id=48570641,0
48615909,He made your free video player run smoothly. Now he's doing that for robots,story,https://news.ycombinator.com/item?id=48615909,2
48618842,Production Is a Compiler Input,story,https://news.ycombinator.com/item?id=48618842,2
48608736,AlphaVibe – AI that reads your DeFi wallet live via DeBank,show_hn,https://news.ycombinator.com/item?id=48608736,1
48600369,"StartupsBR – A Map of Brazilian Startups I couldn't find a simple way to explore the Brazilian startup ecosystem geographically, as I can in other places like the Bay Area or London, so I built one. The map currently includes hundreds of startups from Sao Paulo and their job opportunities. The most interesting thing I've learned so far is how clustered startup activity is in a handful of areas. I'd love to hear your thoughts. The EN version: https://www.startupsbr.com/sao-paulo",show_hn,https://news.ycombinator.com/item?id=48600369,1
48613130,"Botacts – Phonebook of AI Bots Most apps on your phone could be an agent you chat with or talk to. But where are they? I put together a phonebook of these AI bots. Still scraping, will add more as we go. Know one that should be listed? There's a suggest form. Stack is Astro + Cloudflare to keep it simple. Cala.ai for scraping (free credits from a hackathon)",show_hn,https://news.ycombinator.com/item?id=48613130,1
48616247,Europeans should learn to love the air conditioner,story,https://news.ycombinator.com/item?id=48616247,2
